subj,CC,II,CI,IC,gaze-200-match,gaze-200-mismatch,Gaze-SOA-600,CC,II,CI,IC,gaze-600-match,gaze-600-mismatch,Gaze-SOA-1000,CC,II,CI,IC,gaze-1000-match,gaze-1000-mismatch,Arrow-SOA-200,CC,II,CI,IC,arrow-200-match,arrow-200-mismatch,Arrow-SOA-600,CC,II,CI,IC,arrow-600-match,arrow-600-mismatch,Arrow-SOA-1000,CC,II,CI,IC,arrow-1000-match,arrow-1000-mismatch,subjAge,subjHandedness,subjSex
33,0.391623,0.365658,0.381527,0.389157,-0.025965,0.00763,,0.334614,0.391027,0.353099,0.354016,0.056413,0.000917,,0.313714,0.343849,0.328432,0.346063,0.030135,0.017631,,0.365612,0.451159,0.357242,0.381554,0.085547,0.024312,,0.351311,0.361127,0.37401,0.37739,0.009816,0.00338,,0.349472,0.376499,0.381363,0.383254,0.027027,0.001891,18.70137,right,female
34,0.405038,0.402518,0.379057,0.38909,-0.00252,0.010033,,0.358908,0.376559,0.360608,0.379869,0.017651,0.019261,,0.351352,0.365462,0.363996,0.374007,0.01411,0.010011,,0.384945,0.374038,0.374836,0.410033,-0.010907,0.035197,,0.37569,0.391618,0.35635,0.363979,0.015928,0.007629,,0.368107,0.367336,0.359289,0.358911,-0.000771,-0.000378,18.665753,right,female
35,0.409053,0.431632,0.395822,0.400676,0.022579,0.004854,,0.369983,0.33025,0.376558,0.359836,-0.039733,-0.016722,,0.345178,0.350591,0.36903,0.348692,0.005413,-0.020338,,0.417643,0.456299,0.405048,0.444452,0.038656,0.039404,,0.3556,0.361065,0.376508,0.375196,0.005465,-0.001312,,0.369022,0.393684,0.383964,0.37987,0.024662,-0.004094,18.742466,right,male
36,0.484389,0.527414,0.507487,0.51063,0.043025,0.003143,,0.614243,0.424498,0.556846,0.498056,-0.189745,-0.05879,,0.52072,0.470457,0.484298,0.459238,-0.050263,-0.02506,,0.493036,0.464243,0.587698,0.514798,-0.028793,-0.0729,,0.486351,0.508355,0.519856,0.437883,0.022004,-0.081973,,0.425981,0.624578,0.416609,0.428088,0.198597,0.011479,18.194521,right,male
37,0.391875,0.385728,0.369857,0.370625,-0.006147,0.000768,,0.37605,0.368197,0.369819,0.378694,-0.007853,0.008875,,0.405026,0.384888,0.373404,0.369044,-0.020138,-0.00436,,0.374894,0.380739,0.363157,0.394127,0.005845,0.03097,,0.337982,0.35894,0.38744,0.352226,0.020958,-0.035214,,0.366485,0.413451,0.366482,0.35896,0.046966,-0.007522,19.282192,right,male
38,0.368961,0.371532,0.384059,0.374853,0.002571,-0.009206,,0.377335,0.356885,0.339644,0.383268,-0.02045,0.043624,,0.394953,0.350551,0.36142,0.354759,-0.044402,-0.006661,,0.361874,0.366515,0.367245,0.379943,0.004641,0.012698,,0.335383,0.348694,0.337209,0.34868,0.013311,0.011471,,0.343003,0.345506,0.327521,0.331941,0.002503,0.00442,25.835616,right,male
39,0.513701,0.510656,0.457806,0.505619,-0.003045,0.047813,,0.438722,0.434387,0.459493,0.434358,-0.004335,-0.025135,,0.451948,0.456143,0.475424,0.438559,0.004195,-0.036865,,0.515643,0.53409,0.538356,0.555883,0.018447,0.017527,,0.443087,0.5039,0.461205,0.468709,0.060813,0.007504,,0.441988,0.446927,0.45451,0.436054,0.004939,-0.018456,0,right,female
3,0.370777,0.398313,0.428959,0.370702,0.027536,-0.058257,,0.39836,0.381572,0.419275,0.418374,-0.016788,-0.000901,,0.408405,0.384027,0.410074,0.396647,-0.024378,-0.013427,,0.353916,0.390196,0.369001,0.392427,0.03628,0.023426,,0.40671,0.409229,0.3891,0.378182,0.002519,-0.010918,,0.410102,0.387414,0.367196,0.391895,-0.022688,0.024699,18.756164,right,male
40,0.359306,0.364581,0.389958,0.360612,0.005275,-0.029346,,0.326264,0.352234,0.346364,0.332101,0.02597,-0.014263,,0.330201,0.347818,0.340486,0.33549,0.017617,-0.004996,,0.380711,0.374279,0.370808,0.37736,-0.006432,0.006552,,0.351378,0.343388,0.354756,0.367218,-0.00799,0.012462,,0.3522,0.397507,0.34345,0.361909,0.045307,0.018459,18.660274,right,male
41,0.446642,0.45618,0.441086,0.478709,0.009538,0.037623,,0.376938,0.396631,0.385745,0.384801,0.019693,-0.000944,,0.366302,0.361512,0.322256,0.332961,-0.00479,0.010705,,0.438556,0.417583,0.397499,0.421765,-0.020973,0.024266,,0.36562,0.375173,0.428493,0.34864,0.009553,-0.079853,,0.328406,0.347167,0.323339,0.349723,0.018761,0.026384,19.364384,right,female
